iter	Passed	Remaining
0	1	114
1	2	105
2	3	101
3	3	92
4	5	100
5	6	99
6	7	95
7	8	93
8	9	91
9	10	95
10	11	93
11	12	91
12	13	88
13	14	86
14	14	84
15	15	83
16	16	82
17	17	80
18	18	79
19	20	80
20	20	78
21	21	77
22	22	76
23	23	74
24	24	73
25	25	72
26	26	71
27	27	69
28	28	68
29	28	67
30	29	66
31	30	64
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	57
39	37	56
40	38	55
41	39	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	47	44
52	49	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	34
62	57	34
63	58	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	69	23
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	75	15
83	76	14
84	78	13
85	78	12
86	79	11
87	80	11
88	81	10
89	82	9
90	83	8
91	84	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	90	0
